type,path,size_bytes,size_human,extension,pct_of_parent
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\lib\libftxui-dom.a",808068,"789.13 KB",".a",0.138084
file,"D:\disktree\build\dev\CMakeFiles\disktree_core.dir\src\core\builder.cpp.obj",760442,"742.62 KB",".obj",0.156308
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\bin\brotlienc.dll",697856,"681.50 KB",".dll",0.0785998
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\tools\brotli\brotlienc.dll",697856,"681.50 KB",".dll",0.759331
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\httplib.h",687624,"671.51 KB",".h",0.185483
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\httplib.h",687624,"671.51 KB",".h",0.185483
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\bin\zstd.dll",657920,"642.50 KB",".dll",0.0741018
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\bin\brotlidec.pdb",593920,"580.00 KB",".pdb",0.0668935
file,"D:\disktree\build\dev\fmtd.dll",463360,"452.50 KB",".dll",0.00108729
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\bin\fmtd.dll",463360,"452.50 KB",".dll",0.0368605
file,"D:\disktree\build\dev\tests\fmtd.dll",463360,"452.50 KB",".dll",0.0114725
file,"D:\disktree\build\dev\tests\CMakeFiles\disktree_tests.dir\unit\test_humanize.cpp.obj",444637,"434.22 KB",".obj",0.99909
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\lib\manual-link\Catch2Maind.lib",434470,"424.29 KB",".lib",1
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\bin\brotlicommon.pdb",421888,"412.00 KB",".pdb",0.0475174
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\lib\manual-link\Catch2Main.lib",421818,"411.93 KB",".lib",1
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\bin\libfmt.dll",419724,"409.89 KB",".dll",0.136245
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\bin\libbrotlidec.dll",417264,"407.48 KB",".dll",0.0452626
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\lib\libzstd.dll.a",407114,"397.57 KB",".a",0.00469815
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\lib\libzstd.dll.a",407114,"397.57 KB",".a",0.0695681
file,"D:\disktree\build\dev\CMakeFiles\disktree_core.dir\src\export\csv_export.cpp.obj",375337,"366.54 KB",".obj",0.0765603
file,"D:\disktree\build\dev\CMakeFiles\disktree_core.dir\src\utils\thread_pool.cpp.obj",360747,"352.29 KB",".obj",0.626769
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\tools\brotli\brotli.exe",296522,"289.57 KB",".exe",0.193258
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\bin\libbrotlicommon.dll",235407,"229.89 KB",".dll",0.0255357
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\lib\manual-link\libCatch2Maind.a",226160,"220.86 KB",".a",1
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\bin\libbrotlicommon.dll",222094,"216.89 KB",".dll",0.0720932
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\tools\brotli\libbrotlicommon.dll",222094,"216.89 KB",".dll",0.14475
file,"D:\disktree\build\dev\CMakeFiles\disktree_core.dir\src\utils\humanize.cpp.obj",214031,"209.01 KB",".obj",0.371862
