type,path,size_bytes,size_human,extension,pct_of_parent
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\conversions\to_json.hpp",17642,"17.23 KB",".hpp",0.226563
file,"D:\disktree\build\dev\.cache\clangd\index\catch_decomposer.hpp.94F340C559B332B4.idx",17174,"16.77 KB",".idx",0.0460313
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\brotli\decode.h",16913,"16.52 KB",".h",0.309728
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\brotli\decode.h",16913,"16.52 KB",".h",0.309728
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\impl\Formatter_inl.hpp",16339,"15.96 KB",".hpp",0.0738509
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\impl\Formatter_inl.hpp",16339,"15.96 KB",".hpp",0.0738509
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\Error.hpp",16057,"15.68 KB",".hpp",0.0324621
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\Error.hpp",16057,"15.68 KB",".hpp",0.0324621
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\catch2\Catch.cmake",15566,"15.20 KB",".cmake",0.0910399
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\catch2\Catch.cmake",15566,"15.20 KB",".cmake",0.0910985
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\catch_test_macros.hpp",15544,"15.18 KB",".hpp",0.0248217
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\catch_test_macros.hpp",15544,"15.18 KB",".hpp",0.0248217
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\vcpkg-cmake\vcpkg_cmake_configure.cmake",15511,"15.15 KB",".cmake",0.508357
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\vcpkg-cmake\vcpkg_cmake_configure.cmake",15511,"15.15 KB",".cmake",0.509995
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\matchers\catch_matchers_templated.hpp",15312,"14.95 KB",".hpp",0.217751
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\matchers\catch_matchers_templated.hpp",15312,"14.95 KB",".hpp",0.217751
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\zstd\vcpkg.spdx.json",14753,"14.41 KB",".json",0.315269
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\vcpkg-cmake-config\vcpkg_cmake_config_fixup.cmake",14648,"14.30 KB",".cmake",0.637479
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\vcpkg-cmake-config\vcpkg_cmake_config_fixup.cmake",14648,"14.30 KB",".cmake",0.64021
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\catch2\ParseAndAddCatchTests.cmake",14624,"14.28 KB",".cmake",0.0855855
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\catch2\ParseAndAddCatchTests.cmake",14624,"14.28 KB",".cmake",0.0855305
file,"D:\disktree\vcpkg_installed\vcpkg\info\catch2_3.15.0_x64-mingw-dynamic.list",14286,"13.95 KB",".list",0.481903
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\zstd\vcpkg.spdx.json",13799,"13.48 KB",".json",0.300285
file,"D:\disktree\build\dev\.ninja_deps",13688,"13.37 KB",".ninja_deps",3.21194e-05
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\fmt\xchar.h",13098,"12.79 KB",".h",0.022551
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\fmt\xchar.h",13098,"12.79 KB",".h",0.022551
file,"D:\disktree\.cache\clangd\index\models.hpp.01E230002684A1E2.idx",12940,"12.64 KB",".idx",0.223365
file,"D:\disktree\build\dev\vcpkg_installed\vcpkg\info\catch2_3.15.0_x64-windows.list",12920,"12.62 KB",".list",0.487253
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\fmt\os.h",12860,"12.56 KB",".h",0.0221412
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\fmt\os.h",12860,"12.56 KB",".h",0.0221412
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\Validators.hpp",12602,"12.31 KB",".hpp",0.0254772
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\Validators.hpp",12602,"12.31 KB",".hpp",0.0254772
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\matchers\catch_matchers.hpp",12499,"12.21 KB",".hpp",0.177747
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\matchers\catch_matchers.hpp",12499,"12.21 KB",".hpp",0.177747
file,"D:\disktree\src\main.cpp",12300,"12.01 KB",".cpp",0.321426
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\ordered_map.hpp",11686,"11.41 KB",".hpp",0.0122511
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\ordered_map.hpp",11686,"11.41 KB",".hpp",0.0122511
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\StringTools.hpp",11670,"11.40 KB",".hpp",0.023593
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\StringTools.hpp",11670,"11.40 KB",".hpp",0.023593
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\brotli\port.h",11439,"11.17 KB",".h",0.209482
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\brotli\port.h",11439,"11.17 KB",".h",0.209482
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\generators\catch_generators_adapters.hpp",11438,"11.17 KB",".hpp",0.370798
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\generators\catch_generators_adapters.hpp",11438,"11.17 KB",".hpp",0.370798
file,"D:\disktree\build\dev\Testing\Temporary\LastTest.log",11421,"11.15 KB",".log",0.955173
file,"D:\disktree\include\disktree\core\models.hpp",11338,"11.07 KB",".hpp",0.564698
file,"D:\disktree\.cache\clangd\index\test_humanize.cpp.1EB81428FE547076.idx",10952,"10.70 KB",".idx",0.189049
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_textflow.hpp",10858,"10.60 KB",".hpp",0.0357823
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_textflow.hpp",10858,"10.60 KB",".hpp",0.0357823
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\lib\libbrotlidec.dll.a",10804,"10.55 KB",".a",0.0018462
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\lib\libbrotlidec.dll.a",10804,"10.55 KB",".a",0.00012468
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\impl\Validators_inl.hpp",10727,"10.48 KB",".hpp",0.0484851
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\impl\Validators_inl.hpp",10727,"10.48 KB",".hpp",0.0484851
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\catch_template_test_macros.hpp",10642,"10.39 KB",".hpp",0.0169938
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\catch_template_test_macros.hpp",10642,"10.39 KB",".hpp",0.0169938
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\exceptions.hpp",10590,"10.34 KB",".hpp",0.0165384
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\exceptions.hpp",10590,"10.34 KB",".hpp",0.0165384
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\lib\libbrotlienc.dll.a",10240,"10.00 KB",".a",0.00174982
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\lib\libbrotlienc.dll.a",10240,"10.00 KB",".a",0.000118171
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_test_registry.hpp",10066,"9.83 KB",".hpp",0.0331723
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_test_registry.hpp",10066,"9.83 KB",".hpp",0.0331723
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\FormatterFwd.hpp",9988,"9.75 KB",".hpp",0.0201925
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\FormatterFwd.hpp",9988,"9.75 KB",".hpp",0.0201925
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\ftxui\component\component_options.hpp",9974,"9.74 KB",".hpp",0.258615
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\ftxui\component\component_options.hpp",9974,"9.74 KB",".hpp",0.258615
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\ftxui\screen\color.hpp",9941,"9.71 KB",".hpp",0.543105
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\ftxui\screen\color.hpp",9941,"9.71 KB",".hpp",0.543105
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\generators\catch_generators.hpp",9853,"9.62 KB",".hpp",0.319415
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\generators\catch_generators.hpp",9853,"9.62 KB",".hpp",0.319415
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_random_integer_helpers.hpp",9485,"9.26 KB",".hpp",0.0312576
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_random_integer_helpers.hpp",9485,"9.26 KB",".hpp",0.0312576
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\interfaces\catch_interfaces_reporter.hpp",9412,"9.19 KB",".hpp",0.315722
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\interfaces\catch_interfaces_reporter.hpp",9412,"9.19 KB",".hpp",0.315722
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\catch2\CatchAddTests.cmake",9041,"8.83 KB",".cmake",0.0528775
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\catch2\CatchAddTests.cmake",9041,"8.83 KB",".cmake",0.0529116
file,"D:\disktree\build\dev\CMakeFiles\rules.ninja",8992,"8.78 KB",".ninja",0.000428318
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\cpp-httplib\vcpkg.spdx.json",8844,"8.64 KB",".json",0.777016
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\cpp-httplib\vcpkg.spdx.json",8826,"8.62 KB",".json",0.782169
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\lib\libbrotlicommon.dll.a",8790,"8.58 KB",".a",0.000101438
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\lib\libbrotlicommon.dll.a",8790,"8.58 KB",".a",0.00150204
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_test_case_tracker.hpp",8643,"8.44 KB",".hpp",0.0284828
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_test_case_tracker.hpp",8643,"8.44 KB",".hpp",0.0284828
file,"D:\disktree\build\dev\compile_commands.json",8449,"8.25 KB",".json",1.98259e-05
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\iterators\iteration_proxy.hpp",8073,"7.88 KB",".hpp",0.188366
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\iterators\iteration_proxy.hpp",8073,"7.88 KB",".hpp",0.188366
file,"D:\disktree\src\core\scanner.cpp",7822,"7.64 KB",".cpp",0.432179
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\vcpkg-cmake\vcpkg.spdx.json",7725,"7.54 KB",".json",0.253179
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_test_macro_impl.hpp",7723,"7.54 KB",".hpp",0.025451
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_test_macro_impl.hpp",7723,"7.54 KB",".hpp",0.025451
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\vcpkg-cmake\vcpkg.spdx.json",7707,"7.53 KB",".json",0.253403
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\matchers\catch_matchers_vector.hpp",7648,"7.47 KB",".hpp",0.108762
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\matchers\catch_matchers_vector.hpp",7648,"7.47 KB",".hpp",0.108762
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\catch_user_config.hpp",7219,"7.05 KB",".hpp",0.0115278
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\catch_user_config.hpp",7219,"7.05 KB",".hpp",0.0115278
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\fmt\args.h",7199,"7.03 KB",".h",0.0123946
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\fmt\args.h",7199,"7.03 KB",".h",0.0123946
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\ftxui\dom\elements.hpp",7060,"6.89 KB",".hpp",0.247086
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\ftxui\dom\elements.hpp",7060,"6.89 KB",".hpp",0.247086
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\meta\is_sax.hpp",6962,"6.80 KB",".hpp",0.149762
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\meta\is_sax.hpp",6962,"6.80 KB",".hpp",0.149762
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\ftxui\util\ref.hpp",6941,"6.78 KB",".hpp",0.884429
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\ftxui\util\ref.hpp",6941,"6.78 KB",".hpp",0.884429
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\catch_message.hpp",6894,"6.73 KB",".hpp",0.0110088
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\catch_message.hpp",6894,"6.73 KB",".hpp",0.0110088
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\ConfigFwd.hpp",6807,"6.65 KB",".hpp",0.0137616
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\ConfigFwd.hpp",6807,"6.65 KB",".hpp",0.0137616
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\catch_all.hpp",6773,"6.61 KB",".hpp",0.0108156
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\catch_all.hpp",6773,"6.61 KB",".hpp",0.0108156
file,"D:\disktree\build\dev\CMakeFiles\4.2.3-msvc3\CMakeCXXCompiler.cmake",6670,"6.51 KB",".cmake",0.0330856
file,"D:\disktree\build\dev\.ninja_log",6586,"6.43 KB",".ninja_log",1.54543e-05
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\reporters\catch_reporter_cumulative_base.hpp",6434,"6.28 KB",".hpp",0.141646
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\reporters\catch_reporter_cumulative_base.hpp",6434,"6.28 KB",".hpp",0.141646
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_run_context.hpp",6345,"6.20 KB",".hpp",0.0209098
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_run_context.hpp",6345,"6.20 KB",".hpp",0.0209098
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\benchmark\catch_benchmark.hpp",6301,"6.15 KB",".hpp",0.143068
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\benchmark\catch_benchmark.hpp",6301,"6.15 KB",".hpp",0.143068
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\matchers\catch_matchers_range_equals.hpp",6278,"6.13 KB",".hpp",0.0892789
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\matchers\catch_matchers_range_equals.hpp",6278,"6.13 KB",".hpp",0.0892789
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\vcpkg-cmake-config\vcpkg.spdx.json",6239,"6.09 KB",".json",0.271521
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\vcpkg-cmake-config\vcpkg.spdx.json",6221,"6.08 KB",".json",0.271897
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\string_concat.hpp",5953,"5.81 KB",".hpp",0.00929678
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\string_concat.hpp",5953,"5.81 KB",".hpp",0.00929678
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_xmlwriter.hpp",5944,"5.80 KB",".hpp",0.0195883
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_xmlwriter.hpp",5944,"5.80 KB",".hpp",0.0195883
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\matchers\catch_matchers_quantifiers.hpp",5831,"5.69 KB",".hpp",0.0829221
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\matchers\catch_matchers_quantifiers.hpp",5831,"5.69 KB",".hpp",0.0829221
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\ftxui\dom\canvas.hpp",5675,"5.54 KB",".hpp",0.198614
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\ftxui\dom\canvas.hpp",5675,"5.54 KB",".hpp",0.198614
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\ftxui\component\component.hpp",5631,"5.50 KB",".hpp",0.146006
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\ftxui\component\component.hpp",5631,"5.50 KB",".hpp",0.146006
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\catch_config.hpp",5630,"5.50 KB",".hpp",0.00899035
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\catch_config.hpp",5630,"5.50 KB",".hpp",0.00899035
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\impl\Split_inl.hpp",5532,"5.40 KB",".hpp",0.0250042
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\impl\Split_inl.hpp",5532,"5.40 KB",".hpp",0.0250042
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\thirdparty\hedley\hedley_undef.hpp",5502,"5.37 KB",".hpp",0.0600826
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\thirdparty\hedley\hedley_undef.hpp",5502,"5.37 KB",".hpp",0.0600826
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_is_permutation.hpp",5469,"5.34 KB",".hpp",0.018023
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_is_permutation.hpp",5469,"5.34 KB",".hpp",0.018023
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\httplib\httplibTargets.cmake",5414,"5.29 KB",".cmake",0.390339
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\httplib\httplibTargets.cmake",5414,"5.29 KB",".cmake",0.390339
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\benchmark\detail\catch_estimate_clock.hpp",5295,"5.17 KB",".hpp",0.246199
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\benchmark\detail\catch_estimate_clock.hpp",5295,"5.17 KB",".hpp",0.246199
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\meta\cpp_future.hpp",5173,"5.05 KB",".hpp",0.111278
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\meta\cpp_future.hpp",5173,"5.05 KB",".hpp",0.111278
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\impl\ExtraValidators_inl.hpp",5170,"5.05 KB",".hpp",0.023368
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\impl\ExtraValidators_inl.hpp",5170,"5.05 KB",".hpp",0.023368
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\httplib\httplibConfig.cmake",5163,"5.04 KB",".cmake",0.372242
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\httplib\httplibConfig.cmake",5163,"5.04 KB",".cmake",0.372242
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_uniform_floating_point_distribution.hpp",5161,"5.04 KB",".hpp",0.017008
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_uniform_floating_point_distribution.hpp",5161,"5.04 KB",".hpp",0.017008
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\unofficial-brotli\unofficial-brotli-config.cmake",5144,"5.02 KB",".cmake",0.52759
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\ftxui\ftxui-targets.cmake",5133,"5.01 KB",".cmake",0.120626
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\lib\brotlidec.lib",5110,"4.99 KB",".lib",3.38741e-05
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\lib\brotlidec.lib",5110,"4.99 KB",".lib",3.64349e-05
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\unofficial-brotli\unofficial-brotli-config.cmake",5108,"4.99 KB",".cmake",0.531088
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\impl\Encoding_inl.hpp",5107,"4.99 KB",".hpp",0.0230832
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\impl\Encoding_inl.hpp",5107,"4.99 KB",".hpp",0.0230832
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\ftxui\component\event.hpp",5089,"4.97 KB",".hpp",0.131952
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\ftxui\component\event.hpp",5089,"4.97 KB",".hpp",0.131952
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\ftxui\component\screen_interactive.hpp",5033,"4.92 KB",".hpp",0.1305
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\ftxui\component\screen_interactive.hpp",5033,"4.92 KB",".hpp",0.1305
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\fmt\ostream.h",5027,"4.91 KB",".h",0.00865505
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\fmt\ostream.h",5027,"4.91 KB",".h",0.00865505
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\ftxui\ftxui-targets.cmake",5019,"4.90 KB",".cmake",0.117941
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\Timer.hpp",5013,"4.90 KB",".hpp",0.0101347
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\Timer.hpp",5013,"4.90 KB",".hpp",0.0101347
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\Macros.hpp",5010,"4.89 KB",".hpp",0.0101286
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\Macros.hpp",5010,"4.89 KB",".hpp",0.0101286
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\lib\brotlienc.lib",4990,"4.87 KB",".lib",3.30787e-05
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\lib\brotlienc.lib",4990,"4.87 KB",".lib",3.55793e-05
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\reporters\catch_reporter_registrars.hpp",4897,"4.78 KB",".hpp",0.107809
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\reporters\catch_reporter_registrars.hpp",4897,"4.78 KB",".hpp",0.107809
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\ftxui\dom\flexbox_config.hpp",4858,"4.74 KB",".hpp",0.170021
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\ftxui\dom\flexbox_config.hpp",4858,"4.74 KB",".hpp",0.170021
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\fmt\fmt-targets.cmake",4760,"4.65 KB",".cmake",0.15343
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\nlohmann_json\nlohmann_jsonTargets.cmake",4705,"4.59 KB",".cmake",0.175076
file,"D:\disktree\build\dev\.cache\clangd\index\catch_message.hpp.F8F9A3289A6996CC.idx",4690,"4.58 KB",".idx",0.0125706
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\catch_approx.hpp",4647,"4.54 KB",".hpp",0.00742063
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\catch_approx.hpp",4647,"4.54 KB",".hpp",0.00742063
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\nlohmann_json\nlohmann_jsonTargets.cmake",4623,"4.51 KB",".cmake",0.776453
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_section.hpp",4611,"4.50 KB",".hpp",0.0151955
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_section.hpp",4611,"4.50 KB",".hpp",0.0151955
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\fmt\fmt-targets.cmake",4560,"4.45 KB",".cmake",0.152086
file,"D:\disktree\.cache\clangd\index\arena.hpp.40454DFC775AB140.idx",4558,"4.45 KB",".idx",0.0786785
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_uniform_integer_distribution.hpp",4549,"4.44 KB",".hpp",0.0149911
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_uniform_integer_distribution.hpp",4549,"4.44 KB",".hpp",0.0149911
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\zstd\zstdTargets.cmake",4446,"4.34 KB",".cmake",0.096751
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\zstd\zstdTargets.cmake",4446,"4.34 KB",".cmake",0.0950102
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\catch2\Catch2Targets.cmake",4437,"4.33 KB",".cmake",0.0259504
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\catch2\Catch2Targets.cmake",4437,"4.33 KB",".cmake",0.0259671
file,"D:\disktree\.cache\clangd\index\thread_pool.hpp.D90EE7206A14C158.idx",4436,"4.33 KB",".idx",0.0765725
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\lib\brotlicommon.lib",4410,"4.31 KB",".lib",2.92339e-05
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\lib\brotlicommon.lib",4410,"4.31 KB",".lib",3.14438e-05
file,"D:\disktree\src\core\builder.cpp",4385,"4.28 KB",".cpp",0.242279
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\zstd_errors.h",4338,"4.24 KB",".h",0.00117016
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\zstd_errors.h",4338,"4.24 KB",".h",0.00117016
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\value_t.hpp",4328,"4.23 KB",".hpp",0.00675903
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\value_t.hpp",4328,"4.23 KB",".hpp",0.00675903
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_console_colour.hpp",4316,"4.21 KB",".hpp",0.0142233
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_console_colour.hpp",4316,"4.21 KB",".hpp",0.0142233
